icd10_id,icd10_lbl,mondo/hbo
Q751,Craniofacial dysostosis,"['http://purl.obolibrary.org/obo/MONDO_0007405', 'http://purl.obolibrary.org/obo/HP_0004439', 'http://purl.obolibrary.org/obo/MONDO_0008715', 'http://purl.obolibrary.org/obo/MONDO_0011154', 'http://purl.obolibrary.org/obo/MONDO_0012833', 'http://purl.obolibrary.org/obo/MONDO_0018980', 'http://purl.obolibrary.org/obo/MONDO_0007045', 'http://purl.obolibrary.org/obo/MONDO_0008712', 'http://purl.obolibrary.org/obo/MONDO_0007035', 'http://purl.obolibrary.org/obo/HP_0000956', 'http://purl.obolibrary.org/obo/MONDO_0009402', 'http://purl.obolibrary.org/obo/MONDO_0008714', 'http://purl.obolibrary.org/obo/MONDO_0009425', 'http://purl.obolibrary.org/obo/MONDO_0015824', 'http://purl.obolibrary.org/obo/MONDO_0011274']"
Q752,Hypertelorism,"['http://purl.obolibrary.org/obo/MONDO_0007778', 'http://purl.obolibrary.org/obo/HP_0000316', 'http://purl.obolibrary.org/obo/MONDO_0009404', 'http://purl.obolibrary.org/obo/MONDO_0015367', 'http://purl.obolibrary.org/obo/MONDO_0017579', 'http://purl.obolibrary.org/obo/MONDO_0010920', 'http://purl.obolibrary.org/obo/HP_0008551', 'http://purl.obolibrary.org/obo/MONDO_0008006', 'http://purl.obolibrary.org/obo/MONDO_0016643', 'http://purl.obolibrary.org/obo/MONDO_0015480', 'http://purl.obolibrary.org/obo/MONDO_0008652', 'http://purl.obolibrary.org/obo/HP_0001838', 'http://purl.obolibrary.org/obo/HP_0000316', 'http://purl.obolibrary.org/obo/HP_0000506', 'http://purl.obolibrary.org/obo/HP_0001761', 'http://purl.obolibrary.org/obo/MONDO_0800025', 'http://purl.obolibrary.org/obo/HP_0004467', 'http://purl.obolibrary.org/obo/MONDO_0020357', 'http://purl.obolibrary.org/obo/HP_0000625', 'http://purl.obolibrary.org/obo/MONDO_0044001', 'http://purl.obolibrary.org/obo/HP_0000410', 'http://purl.obolibrary.org/obo/MONDO_0009104']"
Q753,Macrocephaly,"['http://purl.obolibrary.org/obo/MONDO_0016608', 'http://purl.obolibrary.org/obo/MONDO_0016571', 'http://purl.obolibrary.org/obo/MONDO_0009072', 'http://purl.obolibrary.org/obo/HP_0001305', 'http://purl.obolibrary.org/obo/MONDO_0010323', 'http://purl.obolibrary.org/obo/MONDO_0017356', 'http://purl.obolibrary.org/obo/MONDO_0008008', 'http://purl.obolibrary.org/obo/HP_0001355', 'http://purl.obolibrary.org/obo/MONDO_0010858', 'http://purl.obolibrary.org/obo/MONDO_0013115', 'http://purl.obolibrary.org/obo/MONDO_0020492', 'http://purl.obolibrary.org/obo/HP_0007206', 'http://purl.obolibrary.org/obo/HP_0004482', 'http://purl.obolibrary.org/obo/MONDO_0019419', 'http://purl.obolibrary.org/obo/MONDO_0008213', 'http://purl.obolibrary.org/obo/HP_0000767', 'http://purl.obolibrary.org/obo/MONDO_0010883', 'http://purl.obolibrary.org/obo/MONDO_0024543', 'http://purl.obolibrary.org/obo/MONDO_0017199', 'http://purl.obolibrary.org/obo/HP_0011003', 'http://purl.obolibrary.org/obo/MONDO_0017623', 'http://purl.obolibrary.org/obo/MONDO_0009052', 'http://purl.obolibrary.org/obo/MONDO_0013357']"
Q754,Mandibulofacial dysostosis,"['http://purl.obolibrary.org/obo/HP_0005321', 'http://purl.obolibrary.org/obo/MONDO_0009903', 'http://purl.obolibrary.org/obo/MONDO_0010539', 'http://purl.obolibrary.org/obo/MONDO_0012516', 'http://purl.obolibrary.org/obo/MONDO_0008465', 'http://purl.obolibrary.org/obo/MONDO_0015397', 'http://purl.obolibrary.org/obo/MONDO_0007778', 'http://purl.obolibrary.org/obo/HP_0000316', 'http://purl.obolibrary.org/obo/MONDO_0008673', 'http://purl.obolibrary.org/obo/MONDO_0009425', 'http://purl.obolibrary.org/obo/MONDO_0002457', 'http://purl.obolibrary.org/obo/MONDO_0019797']"
Q758,Other specified congenital malformations of skull and face bones,"['http://purl.obolibrary.org/obo/MONDO_0007861', 'http://purl.obolibrary.org/obo/HP_0000324', 'http://purl.obolibrary.org/obo/MONDO_0009557', 'http://purl.obolibrary.org/obo/MONDO_0008709', 'http://purl.obolibrary.org/obo/MONDO_0007971', 'http://purl.obolibrary.org/obo/MONDO_0011911', 'http://purl.obolibrary.org/obo/HP_0430012', 'http://purl.obolibrary.org/obo/HP_0011815', 'http://purl.obolibrary.org/obo/MONDO_0015237', 'http://purl.obolibrary.org/obo/HP_0009927', 'http://purl.obolibrary.org/obo/MONDO_0019795', 'http://purl.obolibrary.org/obo/HP_0030716', 'http://purl.obolibrary.org/obo/MONDO_0011788', 'http://purl.obolibrary.org/obo/HP_0002697', 'http://purl.obolibrary.org/obo/HP_0009939', 'http://purl.obolibrary.org/obo/HP_0005758', 'http://purl.obolibrary.org/obo/MONDO_0016643', 'http://purl.obolibrary.org/obo/MONDO_0009032', 'http://purl.obolibrary.org/obo/MONDO_0009247', 'http://purl.obolibrary.org/obo/MONDO_0007712', 'http://purl.obolibrary.org/obo/MONDO_0009998', 'http://purl.obolibrary.org/obo/MONDO_0012992', 'http://purl.obolibrary.org/obo/MONDO_0010993', 'http://purl.obolibrary.org/obo/MONDO_0015397', 'http://purl.obolibrary.org/obo/MONDO_0009068', 'http://purl.obolibrary.org/obo/HP_0001738', 'http://purl.obolibrary.org/obo/MONDO_0013357', 'http://purl.obolibrary.org/obo/MONDO_0007943', 'http://purl.obolibrary.org/obo/HP_0002677', 'http://purl.obolibrary.org/obo/MONDO_0008287', 'http://purl.obolibrary.org/obo/MONDO_0019078', 'http://purl.obolibrary.org/obo/HP_0000601', 'http://purl.obolibrary.org/obo/MONDO_0001684', 'http://purl.obolibrary.org/obo/HP_0001738', 'http://purl.obolibrary.org/obo/MONDO_0007470', 'http://purl.obolibrary.org/obo/MONDO_0012155', 'http://purl.obolibrary.org/obo/HP_0000453', 'http://purl.obolibrary.org/obo/MONDO_0000107', 'http://purl.obolibrary.org/obo/HP_0010941', 'http://purl.obolibrary.org/obo/MONDO_0015466', 'http://purl.obolibrary.org/obo/HP_0004331', 'http://purl.obolibrary.org/obo/HP_0002007', 'http://purl.obolibrary.org/obo/HP_0010752', 'http://purl.obolibrary.org/obo/HP_0002678', 'http://purl.obolibrary.org/obo/HP_0001999', 'http://purl.obolibrary.org/obo/MONDO_0007481', 'http://purl.obolibrary.org/obo/HP_0011332', 'http://purl.obolibrary.org/obo/MONDO_0011274', 'http://purl.obolibrary.org/obo/HP_0030769', 'http://purl.obolibrary.org/obo/HP_0030779', 'http://purl.obolibrary.org/obo/MONDO_0019403', 'http://purl.obolibrary.org/obo/HP_0004810', 'http://purl.obolibrary.org/obo/MONDO_0002933', 'http://purl.obolibrary.org/obo/HP_0011001', 'http://purl.obolibrary.org/obo/MONDO_0018953', 'http://purl.obolibrary.org/obo/HP_0004423', 'http://purl.obolibrary.org/obo/MONDO_0007778', 'http://purl.obolibrary.org/obo/HP_0000316', 'http://purl.obolibrary.org/obo/MONDO_0008490', 'http://purl.obolibrary.org/obo/HP_0000201', 'http://purl.obolibrary.org/obo/HP_0000894', 'http://purl.obolibrary.org/obo/MONDO_0015800', 'http://purl.obolibrary.org/obo/MONDO_0011481', 'http://purl.obolibrary.org/obo/MONDO_0008340', 'http://purl.obolibrary.org/obo/HP_0007970', 'http://purl.obolibrary.org/obo/HP_0000270', 'http://purl.obolibrary.org/obo/MONDO_0007953', 'http://purl.obolibrary.org/obo/MONDO_0007259', 'http://purl.obolibrary.org/obo/HP_0005458', 'http://purl.obolibrary.org/obo/MONDO_0015411', 'http://purl.obolibrary.org/obo/HP_0002006', 'http://purl.obolibrary.org/obo/MONDO_0008499', 'http://purl.obolibrary.org/obo/HP_0009924']"
Q759,"Congenital malformation of skull and face bones, unspecified","['http://purl.obolibrary.org/obo/MONDO_0009039', 'http://purl.obolibrary.org/obo/MONDO_0007428', 'http://purl.obolibrary.org/obo/MONDO_0007395', 'http://purl.obolibrary.org/obo/HP_0002089', 'http://purl.obolibrary.org/obo/HP_0001999', 'http://purl.obolibrary.org/obo/MONDO_0009036', 'http://purl.obolibrary.org/obo/MONDO_0007043', 'http://purl.obolibrary.org/obo/MONDO_0009344', 'http://purl.obolibrary.org/obo/HP_0001999', 'http://purl.obolibrary.org/obo/MONDO_0011007', 'http://purl.obolibrary.org/obo/MONDO_0008335', 'http://purl.obolibrary.org/obo/MONDO_0022697', 'http://purl.obolibrary.org/obo/HP_0011445', 'http://purl.obolibrary.org/obo/HP_0002305', 'http://purl.obolibrary.org/obo/HP_0000248', 'http://purl.obolibrary.org/obo/HP_0011332', 'http://purl.obolibrary.org/obo/MONDO_0022697', 'http://purl.obolibrary.org/obo/HP_0011445', 'http://purl.obolibrary.org/obo/HP_0000776']"
Q760,Spina bifida occulta,"['http://purl.obolibrary.org/obo/MONDO_0000859', 'http://purl.obolibrary.org/obo/HP_0003298']"
Q761,Klippel-Feil syndrome,"['http://purl.obolibrary.org/obo/MONDO_0001029', 'http://purl.obolibrary.org/obo/HP_0004602', 'http://purl.obolibrary.org/obo/HP_0004602']"
Q762,Congenital spondylolisthesis,"['http://purl.obolibrary.org/obo/MONDO_0005541', 'http://purl.obolibrary.org/obo/HP_0003304']"
Q763,Congenital scoliosis due to congenital bony malformation,"['http://purl.obolibrary.org/obo/MONDO_0015262', 'http://purl.obolibrary.org/obo/MONDO_0011018']"
Q764,"Other congenital malformations of spine, not associated with scoliosis","['http://purl.obolibrary.org/obo/HP_0010305', 'http://purl.obolibrary.org/obo/MONDO_0015826', 'http://purl.obolibrary.org/obo/MONDO_0009621', 'http://purl.obolibrary.org/obo/HP_0004602', 'http://purl.obolibrary.org/obo/HP_0003422', 'http://purl.obolibrary.org/obo/MONDO_0003280', 'http://purl.obolibrary.org/obo/HP_0003307', 'http://purl.obolibrary.org/obo/MONDO_0006995', 'http://purl.obolibrary.org/obo/MONDO_0010094', 'http://purl.obolibrary.org/obo/HP_0002946', 'http://purl.obolibrary.org/obo/HP_0003468', 'http://purl.obolibrary.org/obo/HP_0002937', 'http://purl.obolibrary.org/obo/HP_0008417', 'http://purl.obolibrary.org/obo/HP_0008439', 'http://purl.obolibrary.org/obo/MONDO_0013360', 'http://purl.obolibrary.org/obo/MONDO_0016622', 'http://purl.obolibrary.org/obo/MONDO_0015233', 'http://purl.obolibrary.org/obo/MONDO_0016087', 'http://purl.obolibrary.org/obo/HP_0008465', 'http://purl.obolibrary.org/obo/HP_0003468', 'http://purl.obolibrary.org/obo/HP_0008459', 'http://purl.obolibrary.org/obo/HP_0008467', 'http://purl.obolibrary.org/obo/MONDO_0007232']"
Q76412,"Congenital kyphosis, cervical region",['http://purl.obolibrary.org/obo/HP_0002947']
Q76413,"Congenital kyphosis, cervicothoracic region",['http://purl.obolibrary.org/obo/HP_0002947']
Q76429,"Congenital lordosis, unspecified region","['http://purl.obolibrary.org/obo/MONDO_0003280', 'http://purl.obolibrary.org/obo/HP_0003307']"
Q7649,"Other congenital malformations of spine, not associated with scoliosis","['http://purl.obolibrary.org/obo/HP_0008417', 'http://purl.obolibrary.org/obo/MONDO_0008806', 'http://purl.obolibrary.org/obo/HP_0010305', 'http://purl.obolibrary.org/obo/MONDO_0015262', 'http://purl.obolibrary.org/obo/MONDO_0009028', 'http://purl.obolibrary.org/obo/MONDO_0015233', 'http://purl.obolibrary.org/obo/HP_0003422', 'http://purl.obolibrary.org/obo/HP_0002937', 'http://purl.obolibrary.org/obo/MONDO_0016065', 'http://purl.obolibrary.org/obo/HP_0008439', 'http://purl.obolibrary.org/obo/HP_0003468', 'http://purl.obolibrary.org/obo/HP_0011332', 'http://purl.obolibrary.org/obo/MONDO_0016087', 'http://purl.obolibrary.org/obo/MONDO_0013360', 'http://purl.obolibrary.org/obo/HP_0003468', 'http://purl.obolibrary.org/obo/HP_0002023', 'http://purl.obolibrary.org/obo/MONDO_0008340', 'http://purl.obolibrary.org/obo/HP_0007970', 'http://purl.obolibrary.org/obo/HP_0008465', 'http://purl.obolibrary.org/obo/MONDO_0009621', 'http://purl.obolibrary.org/obo/HP_0008467', 'http://purl.obolibrary.org/obo/MONDO_0007232', 'http://purl.obolibrary.org/obo/MONDO_0011018', 'http://purl.obolibrary.org/obo/HP_0000776', 'http://purl.obolibrary.org/obo/MONDO_0010831', 'http://purl.obolibrary.org/obo/MONDO_0015826', 'http://purl.obolibrary.org/obo/HP_0002946', 'http://purl.obolibrary.org/obo/MONDO_0019413', 'http://purl.obolibrary.org/obo/MONDO_0008650', 'http://purl.obolibrary.org/obo/MONDO_0009859', 'http://purl.obolibrary.org/obo/MONDO_0009047', 'http://purl.obolibrary.org/obo/HP_0000028', 'http://purl.obolibrary.org/obo/HP_0008459']"
Q765,Cervical rib,"['http://purl.obolibrary.org/obo/HP_0005815', 'http://purl.obolibrary.org/obo/MONDO_0007303', 'http://purl.obolibrary.org/obo/HP_0000891']"
Q766,Other congenital malformations of ribs,"['http://purl.obolibrary.org/obo/HP_0000883', 'http://purl.obolibrary.org/obo/HP_0002023', 'http://purl.obolibrary.org/obo/MONDO_0015826', 'http://purl.obolibrary.org/obo/MONDO_0007301', 'http://purl.obolibrary.org/obo/HP_0000347', 'http://purl.obolibrary.org/obo/HP_0005815']"
Q767,Congenital malformation of sternum,"['http://purl.obolibrary.org/obo/MONDO_0016066', 'http://purl.obolibrary.org/obo/HP_0010309']"
Q768,Other congenital malformations of bony thorax,['http://purl.obolibrary.org/obo/MONDO_0010180']
Q770,Achondrogenesis,"['http://purl.obolibrary.org/obo/MONDO_0008701', 'http://purl.obolibrary.org/obo/MONDO_0019648']"
Q771,Thanatophoric short stature,"['http://purl.obolibrary.org/obo/MONDO_0008547', 'http://purl.obolibrary.org/obo/MONDO_0017042']"
Q772,Short rib syndrome,"['http://purl.obolibrary.org/obo/MONDO_0019691', 'http://purl.obolibrary.org/obo/HP_0000773', 'http://purl.obolibrary.org/obo/MONDO_0013127', 'http://purl.obolibrary.org/obo/MONDO_0015461', 'http://purl.obolibrary.org/obo/HP_0002983', 'http://purl.obolibrary.org/obo/MONDO_0007861', 'http://purl.obolibrary.org/obo/MONDO_0018342', 'http://purl.obolibrary.org/obo/MONDO_0018770', 'http://purl.obolibrary.org/obo/MONDO_0007986', 'http://purl.obolibrary.org/obo/MONDO_0016068', 'http://purl.obolibrary.org/obo/MONDO_0019662', 'http://purl.obolibrary.org/obo/MONDO_0013127', 'http://purl.obolibrary.org/obo/MONDO_0010024', 'http://purl.obolibrary.org/obo/HP_0002335', 'http://purl.obolibrary.org/obo/MONDO_0008551', 'http://purl.obolibrary.org/obo/MONDO_0018772', 'http://purl.obolibrary.org/obo/HP_0002335']"
Q773,Chondrodysplasia punctata,"['http://purl.obolibrary.org/obo/MONDO_0007322', 'http://purl.obolibrary.org/obo/MONDO_0007562', 'http://purl.obolibrary.org/obo/MONDO_0009189', 'http://purl.obolibrary.org/obo/MONDO_0007561', 'http://purl.obolibrary.org/obo/HP_0004334', 'http://purl.obolibrary.org/obo/MONDO_0045017', 'http://purl.obolibrary.org/obo/MONDO_0008973', 'http://purl.obolibrary.org/obo/MONDO_0015627', 'http://purl.obolibrary.org/obo/MONDO_0015776', 'http://purl.obolibrary.org/obo/MONDO_0019701', 'http://purl.obolibrary.org/obo/HP_0010655', 'http://purl.obolibrary.org/obo/MONDO_0011765', 'http://purl.obolibrary.org/obo/MONDO_0008974', 'http://purl.obolibrary.org/obo/MONDO_0010803', 'http://purl.obolibrary.org/obo/MONDO_0000845', 'http://purl.obolibrary.org/obo/HP_0010734', 'http://purl.obolibrary.org/obo/MONDO_0045008', 'http://purl.obolibrary.org/obo/MONDO_0007489', 'http://purl.obolibrary.org/obo/MONDO_0011778']"
Q774,Achondroplasia,"['http://purl.obolibrary.org/obo/MONDO_0007035', 'http://purl.obolibrary.org/obo/HP_0000956', 'http://purl.obolibrary.org/obo/MONDO_0019648', 'http://purl.obolibrary.org/obo/MONDO_0007037', 'http://purl.obolibrary.org/obo/MONDO_0014658', 'http://purl.obolibrary.org/obo/MONDO_0007793', 'http://purl.obolibrary.org/obo/MONDO_0012387']"
Q775,Diastrophic dysplasia,"['http://purl.obolibrary.org/obo/MONDO_0009107', 'http://purl.obolibrary.org/obo/MONDO_0000389', 'http://purl.obolibrary.org/obo/MONDO_0009727', 'http://purl.obolibrary.org/obo/HP_0002983']"
Q776,Chondroectodermal dysplasia,"['http://purl.obolibrary.org/obo/MONDO_0009162', 'http://purl.obolibrary.org/obo/MONDO_0004588', 'http://purl.obolibrary.org/obo/HP_0000662']"
Q777,Spondyloepiphyseal dysplasia,"['http://purl.obolibrary.org/obo/MONDO_0011939', 'http://purl.obolibrary.org/obo/MONDO_0015799', 'http://purl.obolibrary.org/obo/MONDO_0019666', 'http://purl.obolibrary.org/obo/MONDO_0009458', 'http://purl.obolibrary.org/obo/MONDO_0009130', 'http://purl.obolibrary.org/obo/MONDO_0012716', 'http://purl.obolibrary.org/obo/MONDO_0007738', 'http://purl.obolibrary.org/obo/MONDO_0012206', 'http://purl.obolibrary.org/obo/MONDO_0010902', 'http://purl.obolibrary.org/obo/MONDO_0019675', 'http://purl.obolibrary.org/obo/MONDO_0008975', 'http://purl.obolibrary.org/obo/MONDO_0010073', 'http://purl.obolibrary.org/obo/MONDO_0007986', 'http://purl.obolibrary.org/obo/MONDO_0008196', 'http://purl.obolibrary.org/obo/HP_0002758', 'http://purl.obolibrary.org/obo/MONDO_0008471', 'http://purl.obolibrary.org/obo/MONDO_0011335', 'http://purl.obolibrary.org/obo/MONDO_0010078', 'http://purl.obolibrary.org/obo/MONDO_0008476', 'http://purl.obolibrary.org/obo/HP_0002657', 'http://purl.obolibrary.org/obo/MONDO_0016648', 'http://purl.obolibrary.org/obo/HP_0002654', 'http://purl.obolibrary.org/obo/MONDO_0012019', 'http://purl.obolibrary.org/obo/MONDO_0012108', 'http://purl.obolibrary.org/obo/MONDO_0011252', 'http://purl.obolibrary.org/obo/MONDO_0011261', 'http://purl.obolibrary.org/obo/MONDO_0019667', 'http://purl.obolibrary.org/obo/MONDO_0007562', 'http://purl.obolibrary.org/obo/MONDO_0013014', 'http://purl.obolibrary.org/obo/MONDO_0008827', 'http://purl.obolibrary.org/obo/MONDO_0100510', 'http://purl.obolibrary.org/obo/HP_0002651', 'http://purl.obolibrary.org/obo/MONDO_0016068', 'http://purl.obolibrary.org/obo/MONDO_0018490', 'http://purl.obolibrary.org/obo/MONDO_0008473', 'http://purl.obolibrary.org/obo/HP_0008070', 'http://purl.obolibrary.org/obo/MONDO_0011778', 'http://purl.obolibrary.org/obo/MONDO_0010076', 'http://purl.obolibrary.org/obo/MONDO_0010994', 'http://purl.obolibrary.org/obo/HP_0000938', 'http://purl.obolibrary.org/obo/MONDO_0010068', 'http://purl.obolibrary.org/obo/MONDO_0011198', 'http://purl.obolibrary.org/obo/MONDO_0009785', 'http://purl.obolibrary.org/obo/MONDO_0015708', 'http://purl.obolibrary.org/obo/MONDO_0008322', 'http://purl.obolibrary.org/obo/MONDO_0010803', 'http://purl.obolibrary.org/obo/MONDO_0008490']"
Q778,Other osteochondrodysplasia with defects of growth of tubular bones and spine,"['http://purl.obolibrary.org/obo/MONDO_0019648', 'http://purl.obolibrary.org/obo/MONDO_0007055', 'http://purl.obolibrary.org/obo/MONDO_0019408', 'http://purl.obolibrary.org/obo/MONDO_0007987', 'http://purl.obolibrary.org/obo/MONDO_0007481', 'http://purl.obolibrary.org/obo/MONDO_0016648', 'http://purl.obolibrary.org/obo/HP_0002654', 'http://purl.obolibrary.org/obo/MONDO_0009588', 'http://purl.obolibrary.org/obo/MONDO_0008322', 'http://purl.obolibrary.org/obo/MONDO_0009192', 'http://purl.obolibrary.org/obo/MONDO_0008196', 'http://purl.obolibrary.org/obo/MONDO_0010994', 'http://purl.obolibrary.org/obo/MONDO_0007986', 'http://purl.obolibrary.org/obo/MONDO_0007209', 'http://purl.obolibrary.org/obo/MONDO_0013232', 'http://purl.obolibrary.org/obo/MONDO_0011275', 'http://purl.obolibrary.org/obo/MONDO_0019691', 'http://purl.obolibrary.org/obo/MONDO_0010013', 'http://purl.obolibrary.org/obo/MONDO_0008175', 'http://purl.obolibrary.org/obo/MONDO_0019413', 'http://purl.obolibrary.org/obo/MONDO_0010801', 'http://purl.obolibrary.org/obo/HP_0004060', 'http://purl.obolibrary.org/obo/MONDO_0007341', 'http://purl.obolibrary.org/obo/MONDO_0007251', 'http://purl.obolibrary.org/obo/MONDO_0008479', 'http://purl.obolibrary.org/obo/MONDO_0008478', 'http://purl.obolibrary.org/obo/MONDO_0018154', 'http://purl.obolibrary.org/obo/HP_0003067', 'http://purl.obolibrary.org/obo/MONDO_0008878']"
Q779,"Osteochondrodysplasia with defects of growth of tubular bones and spine, unspecified",['http://purl.obolibrary.org/obo/MONDO_0016068']
Q780,Osteogenesis imperfecta,"['http://purl.obolibrary.org/obo/MONDO_0008148', 'http://purl.obolibrary.org/obo/MONDO_0008146', 'http://purl.obolibrary.org/obo/MONDO_0009804', 'http://purl.obolibrary.org/obo/MONDO_0011243', 'http://purl.obolibrary.org/obo/MONDO_0007470', 'http://purl.obolibrary.org/obo/HP_0000592', 'http://purl.obolibrary.org/obo/MONDO_0019019', 'http://purl.obolibrary.org/obo/MONDO_0018849', 'http://purl.obolibrary.org/obo/HP_0000703', 'http://purl.obolibrary.org/obo/MONDO_0017196', 'http://purl.obolibrary.org/obo/MONDO_0001149', 'http://purl.obolibrary.org/obo/MONDO_0008147', 'http://purl.obolibrary.org/obo/MONDO_0012536']"
Q781,Polyostotic fibrous dysplasia,"['http://purl.obolibrary.org/obo/MONDO_0008274', 'http://purl.obolibrary.org/obo/HP_0010735', 'http://purl.obolibrary.org/obo/HP_0000957', 'http://purl.obolibrary.org/obo/MONDO_0018919', 'http://purl.obolibrary.org/obo/MONDO_0000845', 'http://purl.obolibrary.org/obo/HP_0010734', 'http://purl.obolibrary.org/obo/MONDO_0000845']"
Q782,Osteopetrosis,"['http://purl.obolibrary.org/obo/MONDO_0008156', 'http://purl.obolibrary.org/obo/MONDO_0002933', 'http://purl.obolibrary.org/obo/HP_0011001', 'http://purl.obolibrary.org/obo/MONDO_0007764', 'http://purl.obolibrary.org/obo/MONDO_0008155', 'http://purl.obolibrary.org/obo/MONDO_0015612', 'http://purl.obolibrary.org/obo/MONDO_0015613', 'http://purl.obolibrary.org/obo/HP_0011060', 'http://purl.obolibrary.org/obo/MONDO_0015800', 'http://purl.obolibrary.org/obo/MONDO_0017838', 'http://purl.obolibrary.org/obo/HP_0004313', 'http://purl.obolibrary.org/obo/MONDO_0017198', 'http://purl.obolibrary.org/obo/HP_0011002', 'http://purl.obolibrary.org/obo/MONDO_0010866', 'http://purl.obolibrary.org/obo/MONDO_0019026', 'http://purl.obolibrary.org/obo/HP_0011002', 'http://purl.obolibrary.org/obo/HP_0010740', 'http://purl.obolibrary.org/obo/MONDO_0009818', 'http://purl.obolibrary.org/obo/MONDO_0007970', 'http://purl.obolibrary.org/obo/MONDO_0010623', 'http://purl.obolibrary.org/obo/MONDO_0007396', 'http://purl.obolibrary.org/obo/MONDO_0019702', 'http://purl.obolibrary.org/obo/MONDO_0009022', 'http://purl.obolibrary.org/obo/HP_0001274', 'http://purl.obolibrary.org/obo/MONDO_0019093', 'http://purl.obolibrary.org/obo/HP_0012475', 'http://purl.obolibrary.org/obo/MONDO_0010295', 'http://purl.obolibrary.org/obo/MONDO_0010310']"
Q783,Progressive diaphyseal dysplasia,"['http://purl.obolibrary.org/obo/MONDO_0009274', 'http://purl.obolibrary.org/obo/HP_0100252', 'http://purl.obolibrary.org/obo/MONDO_0007542', 'http://purl.obolibrary.org/obo/HP_0100252', 'http://purl.obolibrary.org/obo/MONDO_0009031']"
Q784,Enchondromatosis,"['http://purl.obolibrary.org/obo/MONDO_0010924', 'http://purl.obolibrary.org/obo/HP_0012321', 'http://purl.obolibrary.org/obo/MONDO_0007653', 'http://purl.obolibrary.org/obo/MONDO_0016001', 'http://purl.obolibrary.org/obo/MONDO_0020474', 'http://purl.obolibrary.org/obo/MONDO_0008145', 'http://purl.obolibrary.org/obo/HP_0005701', 'http://purl.obolibrary.org/obo/MONDO_0015985', 'http://purl.obolibrary.org/obo/MONDO_0008145', 'http://purl.obolibrary.org/obo/MONDO_0019412']"
Q785,Metaphyseal dysplasia,"['http://purl.obolibrary.org/obo/MONDO_0007982', 'http://purl.obolibrary.org/obo/MONDO_0015465', 'http://purl.obolibrary.org/obo/HP_0011527', 'http://purl.obolibrary.org/obo/MONDO_0000138', 'http://purl.obolibrary.org/obo/HP_0005871', 'http://purl.obolibrary.org/obo/MONDO_0002933', 'http://purl.obolibrary.org/obo/HP_0011001', 'http://purl.obolibrary.org/obo/MONDO_0009943', 'http://purl.obolibrary.org/obo/HP_0100255', 'http://purl.obolibrary.org/obo/MONDO_0009595', 'http://purl.obolibrary.org/obo/MONDO_0011620', 'http://purl.obolibrary.org/obo/MONDO_0013873', 'http://purl.obolibrary.org/obo/MONDO_0008882', 'http://purl.obolibrary.org/obo/MONDO_0009597', 'http://purl.obolibrary.org/obo/MONDO_0015708', 'http://purl.obolibrary.org/obo/MONDO_0015177', 'http://purl.obolibrary.org/obo/MONDO_0008619', 'http://purl.obolibrary.org/obo/MONDO_0011496', 'http://purl.obolibrary.org/obo/MONDO_0007983', 'http://purl.obolibrary.org/obo/HP_0012376', 'http://purl.obolibrary.org/obo/MONDO_0015942', 'http://purl.obolibrary.org/obo/MONDO_0008479', 'http://purl.obolibrary.org/obo/MONDO_0011939']"
Q786,Multiple congenital exostoses,"['http://purl.obolibrary.org/obo/MONDO_0007979', 'http://purl.obolibrary.org/obo/MONDO_0005508', 'http://purl.obolibrary.org/obo/HP_0002762', 'http://purl.obolibrary.org/obo/MONDO_0000845', 'http://purl.obolibrary.org/obo/HP_0010734', 'http://purl.obolibrary.org/obo/HP_0007401']"
